This file was created using the 202606 CRSP database.
It contains value- and equally-weighted returns for  10 prior return portfolios.

The portfolios are constructed daily.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19711207,   0.26,   0.19,   0.15,  -0.07,   0.33,   0.06,   0.62,   0.37,   0.41,   1.23
19711208,  -0.27,   0.07,   0.17,   0.39,   0.15,   0.44,   0.31,   0.42,   0.80,   0.71
19711209,   0.01,   0.10,   0.15,   0.21,   0.28,   0.19,  -0.16,   0.16,   0.18,   0.51
19711210,   2.35,   1.79,   1.15,   1.30,   1.12,   0.97,   1.02,   1.16,   1.01,   1.34
19711213,   1.14,   0.54,   0.84,   0.41,   0.72,   0.80,   0.53,   0.79,   0.69,   0.67
19711214,  -0.63,  -0.51,  -0.43,  -0.36,  -0.20,  -0.26,  -0.60,  -0.30,  -0.42,  -0.95
19711215,   1.08,   0.94,   0.37,   0.40,   0.58,   0.61,   0.33,   0.58,   0.80,   0.89
19711216,   1.57,   0.81,   0.95,   1.11,   1.17,   0.96,   0.67,   0.78,   0.76,   0.95
19711217,   1.07,   0.81,   0.68,   0.54,   0.58,   0.85,   0.86,   0.66,   0.39,   0.39
19711220,   2.07,   1.86,   1.56,   1.24,   1.36,   0.65,   1.28,   1.19,   1.06,   1.05
19711221,  -0.18,   0.14,   0.11,   0.18,   0.26,   0.15,   0.21,   0.19,   0.19,   0.22
19711222,  -1.02,  -0.32,  -0.36,  -0.27,  -0.09,  -0.20,   0.04,  -0.31,  -0.28,  -0.32
19711223,  -1.09,  -0.04,  -0.23,  -0.43,  -0.04,   0.01,  -0.13,  -0.24,  -0.23,  -0.28
19711227,  -0.54,  -0.23,   0.14,  -0.03,   0.07,   0.28,   0.09,  -0.01,  -0.28,  -0.06
19711228,   0.55,   0.90,   0.81,   0.70,   0.42,   0.54,   0.86,   0.60,   0.53,   0.29
19711229,   0.66,   0.99,   0.73,   0.66,   0.65,   0.61,   0.28,   0.54,   0.48,   0.33
19711230,   0.05,   0.16,  -0.19,   0.19,   0.11,  -0.02,  -0.12,   0.14,  -0.28,  -0.15
19711231,   3.20,   2.31,   1.29,   1.06,   1.01,   0.84,   0.99,   0.97,   0.67,   0.88
19720103,   2.36,   1.13,   0.84,   0.89,   0.63,   0.41,   0.29,  -0.30,  -0.16,  -0.36
19720104,   1.72,   1.63,   0.93,   0.99,   0.55,   0.62,   0.48,   0.22,   0.32,   0.26
19720105,   3.15,   2.19,   2.06,   1.68,   1.37,   1.18,   1.32,   1.27,   1.44,   1.33
19720106,   2.28,   1.46,   0.91,   0.83,   1.29,   1.28,   0.60,   0.73,   0.99,   0.59
19720107,   1.11,   0.57,   0.59,   0.53,   0.54,   0.26,   0.44,   0.30,   0.11,   0.15
19720110,   1.39,   0.90,   0.49,   0.55,   0.39,   0.41,   0.31,   0.16,   0.65,   0.69
19720111,   1.76,   0.94,   0.80,   0.85,   1.01,   0.71,   0.89,   0.74,   0.88,   1.12
19720112,   0.02,  -0.05,  -0.11,   0.00,   0.32,  -0.09,  -0.30,  -0.02,   0.12,   0.08
19720113,  -0.93,  -0.90,  -0.43,  -0.30,  -0.40,  -0.58,  -0.52,  -0.66,  -0.52,  -0.50
19720114,   1.34,   0.67,   0.43,   0.49,   0.32,   0.64,   0.60,   0.49,   0.77,   0.86
19720117,   1.33,   0.74,   0.61,   0.78,   0.70,   0.29,   0.44,   0.52,   0.67,   0.76
19720118,   0.87,   0.42,   0.61,   0.37,   0.79,   0.64,   0.65,   0.80,   0.81,   0.68
19720119,  -0.31,  -0.27,  -0.31,  -0.14,  -0.17,   0.02,  -0.22,  -0.08,  -0.10,   0.40
19720120,  -0.05,  -0.63,  -0.12,  -0.33,  -0.17,  -0.06,  -0.04,  -0.30,  -0.11,  -0.72
19720121,  -0.15,   0.07,   0.09,  -0.12,  -0.33,  -0.10,   0.03,  -0.12,   0.08,   0.42
19720124,  -1.28,  -0.69,  -0.88,  -0.93,  -0.97,  -0.77,  -0.89,  -0.80,  -0.95,  -1.22
19720125,   0.02,  -0.30,   0.32,  -0.10,  -0.05,  -0.16,   0.38,  -0.01,   0.05,   0.30
19720126,   0.16,  -0.08,   0.16,   0.04,   0.05,  -0.15,   0.20,   0.34,   0.16,   0.49
19720127,   2.12,   1.56,   1.33,   1.50,   1.25,   1.12,   1.62,   1.39,   1.61,   2.07
19720128,   1.33,   1.32,   0.89,   0.69,   0.65,   0.54,   0.87,   1.35,   1.34,   1.42
19720131,   0.47,   0.73,   0.22,   0.44,   0.45,   0.68,   0.58,   0.29,   0.40,   0.32
19720201,   0.99,   0.64,   0.06,   0.03,   0.04,  -0.02,   0.64,   0.37,   0.13,   1.00
19720202,   1.54,   1.44,   0.66,   0.62,   0.55,   0.32,   0.90,   0.88,   0.76,   1.26
19720203,   0.08,  -0.27,  -0.18,  -0.01,  -0.30,  -0.19,  -0.22,   0.24,  -0.11,  -0.17
19720204,   0.22,   0.61,   0.14,   0.85,   0.27,   0.17,   0.87,   0.56,   0.68,   0.58
19720207,  -0.11,   0.09,   0.13,  -0.38,  -0.16,  -0.04,   0.07,  -0.16,  -0.39,  -0.37
19720208,   0.06,   0.05,  -0.05,  -0.01,  -0.06,  -0.06,  -0.07,  -0.01,   0.35,   0.13
19720209,   0.59,   0.71,   0.48,   0.65,   0.50,   0.58,   0.75,   0.71,   1.01,   1.00
19720210,   0.21,  -0.02,   0.23,   0.00,  -0.13,   0.08,   0.33,   0.32,   0.32,  -0.18
19720211,  -0.21,   0.01,  -0.31,  -0.33,  -0.40,  -0.56,  -0.36,  -0.37,  -0.18,   0.00
19720214,  -0.39,   0.01,   0.13,  -0.17,  -0.52,  -0.06,  -0.21,  -0.19,  -0.12,  -0.36
19720215,   0.85,   0.39,   0.33,   0.25,   0.40,   0.53,   0.47,   0.31,   0.72,   0.92
19720216,   0.41,   0.29,   0.13,   0.15,   0.03,   0.49,   0.50,   0.67,   0.56,   0.71
19720217,  -0.67,   0.33,   0.00,   0.03,   0.05,  -0.27,  -0.02,   0.24,   0.07,  -0.06
19720218,  -0.07,   0.10,  -0.12,  -0.27,  -0.03,  -0.10,  -0.45,   0.11,  -0.14,   0.19
19720222,  -0.01,  -0.18,   0.26,   0.33,   0.08,   0.04,   0.28,   0.10,   0.10,   0.10
19720223,  -0.03,   0.20,   0.32,   0.14,   0.23,   0.19,   0.14,   0.26,   0.12,  -0.01
19720224,   0.72,   0.31,   0.12,   0.25,   0.01,   0.23,   0.51,  -0.19,   0.00,   0.25
19720225,   0.50,   0.86,   0.37,   0.38,   0.66,   0.72,   0.48,   0.52,   0.52,   0.68
19720228,  -0.04,   0.12,  -0.04,   0.01,  -0.07,   0.02,  -0.01,   0.18,  -0.13,   0.21
19720229,   0.17,   0.08,   0.00,   0.36,   0.37,   0.23,   0.72,   0.37,   0.48,   0.69
19720301,   0.41,   1.01,   0.51,   0.67,   0.66,   0.66,   0.81,   0.83,   0.53,   1.26
19720302,  -0.35,   0.41,   0.09,   0.02,  -0.13,  -0.17,   0.00,   0.06,   0.14,   0.08
19720303,   0.60,   0.42,   0.76,   0.64,   0.84,   0.47,   0.70,   0.50,   0.74,   1.02
19720306,   1.15,   0.74,   0.70,   0.56,   0.51,   0.53,   0.65,   0.74,   0.62,   0.63
19720307,  -0.02,  -0.02,  -0.25,   0.21,  -0.26,  -0.07,  -0.03,   0.00,   0.16,  -0.06
19720308,   0.39,   0.63,   0.59,   0.41,   0.50,   0.28,   0.43,   0.68,   0.60,   0.70
19720309,   0.19,   0.76,  -0.16,   0.05,   0.52,   0.42,   0.06,   0.14,   0.47,   0.64
19720310,   0.01,   0.11,  -0.46,  -0.14,  -0.13,  -0.20,  -0.63,  -0.43,  -0.50,  -0.68
19720313,  -1.10,  -0.89,  -0.57,  -0.67,  -0.68,  -0.74,  -0.85,  -0.77,  -0.97,  -1.11
19720314,   0.18,   0.40,   0.23,   0.15,   0.20,   0.37,   0.67,   0.06,   0.44,   0.35
19720315,  -0.24,  -0.15,   0.13,  -0.06,  -0.34,   0.13,   0.00,   0.06,   0.22,  -0.46
19720316,  -0.53,  -0.49,  -0.38,  -0.13,  -0.36,  -0.24,  -0.60,  -0.42,  -0.39,  -0.80
19720317,   0.05,   0.10,   0.16,   0.06,   0.25,   0.15,  -0.06,  -0.05,  -0.02,  -0.13
19720320,  -1.20,  -0.73,  -1.06,  -0.51,  -0.51,  -0.68,  -0.03,  -0.82,  -0.92,  -1.42
19720321,  -1.28,  -1.46,  -1.29,  -1.15,  -0.98,  -1.56,  -1.26,  -1.33,  -1.50,  -1.80
19720322,   0.00,  -0.11,   0.01,  -0.02,   0.04,  -0.08,   0.04,   0.14,   0.38,   0.79
19720323,   0.75,   0.78,   0.84,   0.72,   0.96,   1.10,   1.25,   1.05,   1.42,   1.85
19720324,  -0.24,  -0.31,  -0.25,  -0.32,  -0.21,  -0.19,  -0.15,  -0.11,   0.03,  -0.28
19720327,  -0.42,  -0.15,  -0.42,  -0.13,  -0.52,  -0.23,  -0.47,  -0.11,  -0.17,  -0.16
19720328,  -0.26,  -0.23,  -0.07,   0.07,  -0.17,   0.15,  -0.16,   0.05,  -0.07,   0.25
19720329,  -0.73,  -0.61,  -0.51,  -0.46,  -0.33,  -0.41,  -0.53,  -0.32,  -0.37,  -0.22
19720330,   0.86,   0.46,   0.54,   0.47,   0.59,   0.76,   0.59,   0.58,   0.55,   0.99
19720403,  -0.69,  -0.09,  -0.10,  -0.31,  -0.02,   0.11,   0.15,   0.32,   0.15,   0.71
19720404,   0.01,   0.21,   0.48,   0.49,   0.33,   0.40,   0.86,   0.52,   0.66,   1.03
19720405,   0.44,   0.61,   0.42,   0.48,   0.70,   1.06,   0.91,   1.04,   1.10,   1.45
19720406,   0.12,   0.39,   0.06,   0.31,   0.49,   0.53,   0.42,   0.81,   0.87,   0.71
19720407,   0.42,   0.15,   0.03,   0.12,   0.20,   0.45,   0.14,   0.44,   0.53,   0.72
19720410,   0.04,   0.02,  -0.19,   0.27,   0.24,   0.07,   0.10,   0.04,   0.05,   0.07
19720411,   0.50,   0.66,   0.39,   0.68,   0.54,   0.09,   0.94,   0.36,   0.57,   1.08
19720412,   0.41,   0.39,   0.66,   0.51,   0.32,   0.78,   0.98,   0.44,   0.52,   0.32
19720413,   0.03,  -0.25,  -0.12,  -0.48,  -0.22,  -0.19,  -0.40,  -0.36,  -0.29,  -0.49
19720414,   0.37,   0.17,  -0.01,   0.41,   0.10,   0.38,  -0.06,   0.28,   0.41,   0.28
19720417,  -0.39,  -0.21,  -0.29,  -0.26,   0.01,  -0.05,  -0.15,  -0.18,  -0.03,  -0.32
19720418,   0.01,   0.12,   0.12,   0.50,  -0.01,  -0.07,   0.03,   0.53,   0.28,   0.12
19720419,  -1.16,  -0.77,  -0.92,  -0.72,  -0.49,  -0.58,  -0.73,  -0.62,  -0.68,  -1.37
19720420,   0.03,   0.01,  -0.29,   0.02,  -0.19,   0.13,  -0.28,   0.07,  -0.17,  -0.14
19720421,  -0.03,  -0.11,   0.11,   0.08,   0.05,  -0.08,  -0.18,  -0.36,  -0.28,  -0.28
19720424,  -0.91,  -0.70,  -0.54,  -0.63,  -0.39,  -0.54,  -0.35,  -0.60,  -0.63,  -0.66
19720425,  -1.09,  -0.89,  -1.03,  -0.86,  -1.21,  -1.08,  -1.09,  -1.00,  -1.11,  -1.29
19720426,  -0.32,  -0.14,  -0.61,  -0.20,  -0.31,  -0.19,  -0.46,  -0.46,  -0.47,  -0.30
19720427,  -0.25,   0.06,  -0.08,   0.00,  -0.21,  -0.10,  -0.15,  -0.01,  -0.10,  -0.17
19720428,   0.15,   0.30,   0.72,   0.37,   0.32,   0.17,   0.38,   0.16,   0.59,   0.19
19720501,  -1.10,  -0.86,  -1.08,  -0.92,  -0.86,  -0.96,  -0.54,  -0.92,  -1.10,  -1.50
19720502,  -0.55,  -0.74,  -0.79,  -0.65,  -0.45,  -0.53,  -0.47,  -0.69,  -0.54,  -0.94
19720503,  -0.76,  -0.67,  -0.35,  -0.52,  -0.26,  -0.47,  -0.78,  -0.65,  -0.83,  -0.83
19720504,  -0.26,  -0.27,  -0.25,  -0.11,  -0.04,  -0.21,  -0.17,  -0.13,  -0.30,   0.25
19720505,   0.01,   0.05,   0.11,  -0.10,   0.15,   0.24,   0.26,   0.13,   0.31,   0.28
19720508,  -0.91,  -0.61,  -0.51,  -0.62,  -0.72,  -0.46,  -0.69,  -0.65,  -0.86,  -1.25
19720509,  -2.15,  -1.87,  -2.09,  -1.85,  -1.37,  -1.86,  -1.97,  -1.99,  -2.07,  -2.40
19720510,   0.85,   0.77,   0.85,   0.73,   0.34,   0.55,   0.74,   0.62,   1.01,   1.69
19720511,   0.40,   0.21,   0.65,   0.39,   0.38,   0.76,   0.72,   0.63,   0.78,   1.20
19720512,   1.00,   0.75,   0.82,   0.62,   0.58,   0.57,   0.92,   1.02,   0.84,   1.74
19720515,   0.51,   0.50,   0.52,   0.39,   0.17,   0.42,   0.62,   0.66,   0.74,   1.41
19720516,  -0.44,  -0.45,  -0.45,  -0.28,   0.09,  -0.33,  -0.16,  -0.04,   0.11,  -0.18
19720517,   0.08,  -0.22,  -0.19,  -0.09,   0.05,   0.14,   0.01,   0.03,   0.11,   0.26
19720518,   0.39,   0.23,   0.22,   0.47,   0.26,   0.52,   0.43,   0.90,   1.07,   1.38
19720519,   0.31,   0.44,   0.44,   0.29,   0.66,   0.52,   0.92,   0.60,   0.70,   1.21
19720522,   0.17,   0.06,   0.16,   0.04,   0.21,   0.10,   0.30,   0.18,   0.30,   0.35
19720523,  -0.29,  -0.49,  -0.48,  -0.23,   0.11,  -0.30,  -0.27,  -0.08,  -0.20,  -0.39
19720524,  -0.14,   0.11,   0.15,  -0.21,   0.07,   0.41,   0.40,   0.39,   0.51,   0.57
19720525,  -0.35,  -0.11,  -0.05,  -0.11,   0.14,   0.29,   0.01,  -0.07,   0.26,   0.28
19720526,   0.50,   0.29,   0.24,   0.56,   0.08,   0.31,   0.18,   0.00,   0.16,   0.39
19720530,  -0.28,  -0.19,  -0.09,  -0.24,  -0.42,  -0.18,  -0.20,  -0.41,  -0.50,  -0.54
19720531,  -0.86,  -0.70,  -0.62,  -0.54,  -0.56,  -0.79,  -1.03,  -0.87,  -0.62,  -1.06
19720601,   0.28,   0.49,   0.36,   0.38,   0.12,   0.19,   0.19,   0.19,   0.23,   0.67
19720602,   0.31,   0.38,   0.27,  -0.01,   0.05,   0.44,   0.21,   0.29,   0.08,   0.36
19720605,  -0.70,  -0.36,  -0.81,  -0.43,  -0.60,  -0.64,  -0.73,  -0.73,  -0.53,  -1.32
19720606,  -0.64,  -0.39,  -0.29,  -0.57,  -0.57,  -0.41,  -0.28,  -0.47,  -0.46,  -0.67
19720607,  -0.43,  -0.42,  -0.41,  -0.39,  -0.78,  -0.51,  -0.76,  -0.35,  -0.65,  -0.70
19720608,  -0.45,  -0.58,   0.05,  -0.32,  -0.52,  -0.29,  -0.21,  -0.16,  -0.01,  -0.49
19720609,  -0.54,   0.09,  -0.32,  -0.43,  -0.29,  -0.53,  -0.36,  -0.54,  -0.49,  -0.70
19720612,   0.14,  -0.24,  -0.01,   0.30,  -0.32,  -0.01,   0.07,  -0.11,  -0.13,   0.13
19720613,   0.06,  -0.19,  -0.01,  -0.03,  -0.01,   0.33,   0.06,   0.06,   0.07,   0.55
19720614,   0.24,   0.30,   0.39,   0.33,   0.34,   0.43,   0.66,   1.00,   0.63,   1.22
19720615,  -0.49,   0.01,  -0.19,  -0.04,  -0.35,  -0.24,  -0.20,  -0.18,   0.01,  -0.63
19720616,  -0.20,  -0.10,  -0.02,  -0.25,  -0.12,  -0.14,   0.24,  -0.10,  -0.33,  -0.04
19720619,  -0.31,  -0.08,  -0.18,  -0.12,  -0.15,   0.00,  -0.18,  -0.19,  -0.21,   0.12
19720620,  -0.45,  -0.11,  -0.18,   0.16,   0.34,   0.29,   0.13,   0.17,   0.28,   0.77
19720621,  -0.20,  -0.21,   0.07,  -0.23,  -0.17,  -0.15,  -0.03,   0.25,   0.04,  -0.29
19720622,  -0.54,  -0.31,  -0.54,  -0.14,  -0.17,  -0.29,  -0.23,  -0.43,  -0.64,  -0.32
19720623,  -0.52,  -0.38,  -0.29,  -0.22,  -0.08,  -0.45,  -0.33,  -0.37,  -0.28,  -0.24
19720626,  -0.56,  -0.65,  -0.67,  -0.33,  -0.39,  -0.64,  -0.59,  -0.63,  -0.63,  -1.22
19720627,  -0.15,  -0.31,  -0.17,  -0.19,  -0.07,   0.13,  -0.11,  -0.18,  -0.18,  -0.28
19720628,  -0.62,  -0.07,  -0.37,  -0.21,  -0.25,  -0.15,  -0.35,  -0.18,  -0.38,  -0.25
19720629,  -0.24,  -0.31,  -0.35,  -0.32,  -0.15,  -0.25,  -0.37,  -0.32,  -0.17,  -0.15
19720630,   0.59,   0.73,   0.68,   0.35,   0.55,   0.36,   0.43,   0.56,   0.35,   0.57
19720703,   0.63,   0.69,   0.19,   0.33,   0.30,   0.35,   0.18,   0.34,   0.37,   0.65
19720705,   0.35,   0.23,   0.62,   0.53,   0.33,   0.38,   0.46,   0.15,   0.58,   0.63
19720706,  -0.09,   0.12,   0.25,   0.56,   0.27,   0.34,   0.42,   0.50,   0.71,   0.48
19720707,  -0.53,  -0.15,  -0.23,   0.09,  -0.22,  -0.06,  -0.13,  -0.37,  -0.07,  -0.53
19720710,  -0.64,  -0.41,  -0.24,  -0.66,  -0.46,  -0.20,  -0.47,  -0.32,  -0.61,  -0.83
19720711,  -0.76,  -0.42,  -0.55,  -0.42,  -0.81,  -0.80,  -0.60,  -0.83,  -0.91,  -0.93
19720712,  -0.83,  -0.69,  -0.62,  -0.20,  -0.74,  -0.42,  -0.51,  -0.77,  -0.87,  -1.36
19720713,  -0.66,  -0.47,  -0.58,  -0.72,  -0.70,  -0.78,  -0.78,  -0.66,  -0.81,  -0.76
19720714,   0.11,   0.26,   0.37,   0.31,   0.05,   0.39,   0.12,   0.37,   0.77,   0.62
19720717,  -0.77,  -0.80,  -0.76,  -0.82,  -0.52,  -0.32,  -0.99,  -0.93,  -0.79,  -1.31
19720718,  -0.69,  -0.98,  -0.44,  -0.39,  -0.35,  -0.66,  -0.41,  -0.63,  -0.74,  -0.03
19720719,   0.07,   0.07,   0.05,   0.11,   0.09,   0.09,   0.14,   0.29,   0.60,   0.10
19720720,  -0.30,  -0.42,  -0.16,  -0.47,  -0.42,  -0.50,  -0.35,  -0.39,  -0.38,  -0.65
19720721,   0.71,   0.62,   0.07,   0.21,   0.34,   0.35,   0.77,   0.44,   0.68,   1.24
19720724,   1.00,   0.74,   0.89,   0.98,   0.85,   0.71,   1.01,   1.42,   1.18,   1.75
19720725,  -0.64,  -0.36,  -0.22,  -0.43,   0.11,  -0.07,  -0.32,  -0.35,   0.02,  -0.44
19720726,  -0.69,  -0.62,  -0.18,  -0.33,  -0.39,  -0.41,  -0.08,  -0.23,  -0.43,  -0.12
19720727,  -0.17,  -0.63,  -0.49,  -0.31,  -0.28,  -0.26,  -0.30,  -0.52,  -0.49,  -0.71
19720728,  -0.06,  -0.02,   0.30,   0.01,  -0.17,  -0.02,  -0.12,  -0.24,  -0.44,  -0.15
19720731,  -0.56,  -0.36,  -0.51,  -0.37,  -0.25,  -0.39,  -0.24,  -0.31,  -0.21,  -0.31
19720801,   0.08,   0.54,   0.15,   0.38,   0.27,   0.60,   0.27,   0.48,   0.72,   1.17
19720802,   0.17,   0.58,   0.41,   0.19,   0.31,   0.64,   0.28,   0.51,   0.96,   0.89
19720803,   0.41,   0.29,   0.27,   0.26,   0.31,  -0.16,   0.20,   0.48,   1.12,   0.42
19720804,   0.68,   0.24,   0.07,  -0.01,   0.21,   0.34,   0.08,   0.15,   0.20,   0.02
19720807,  -0.01,   0.09,   0.05,   0.09,  -0.07,  -0.17,  -0.05,  -0.11,   0.03,  -0.41
19720808,   0.02,  -0.13,  -0.10,   0.11,  -0.11,  -0.12,  -0.13,  -0.07,  -0.02,   0.06
19720809,   0.24,   0.03,  -0.07,   0.29,   0.19,   0.13,   0.07,   0.20,   0.16,   0.15
19720810,   0.37,  -0.01,   0.20,   0.37,   0.22,   0.36,   0.12,   0.16,   0.23,   0.25
19720811,   0.92,   0.72,   0.80,   0.60,   0.59,   0.43,   0.55,   0.93,   0.37,   0.87
19720814,   0.35,   0.90,   0.22,   0.55,   0.30,   0.38,   0.46,   0.39,   0.26,   0.05
19720815,  -0.54,   0.01,  -0.20,   0.31,   0.00,  -0.14,  -0.24,   0.03,  -0.18,  -0.77
19720816,  -0.22,   0.02,  -0.26,  -0.11,   0.03,  -0.10,  -0.25,  -0.44,  -0.50,  -0.19
19720817,  -0.07,   0.39,  -0.13,  -0.03,  -0.01,   0.00,  -0.25,  -0.33,   0.11,  -0.05
19720818,   0.25,   0.57,   0.51,   0.45,   0.39,   0.44,   0.35,   0.39,   0.30,   0.12
19720821,   0.06,   0.19,   0.08,   0.06,   0.47,   0.16,  -0.22,  -0.27,  -0.42,  -0.52
19720822,   0.65,   0.06,   0.73,   0.40,   0.41,   0.40,   0.37,   0.10,   0.27,  -0.37
19720823,  -0.50,   0.24,   0.24,   0.47,   0.13,   0.21,   0.15,   0.03,  -0.19,  -0.61
19720824,  -0.81,  -0.67,  -0.57,  -0.44,  -0.49,  -0.57,  -0.50,  -0.72,  -1.01,  -1.39
19720825,   0.07,  -0.34,  -0.22,  -0.28,   0.19,  -0.22,  -0.28,  -0.41,  -0.47,  -0.28
19720828,  -0.29,  -0.39,  -0.41,  -0.51,  -0.54,  -0.29,  -0.09,  -0.42,  -0.62,  -0.95
19720829,  -0.19,  -0.14,  -0.23,  -0.08,  -0.19,  -0.34,   0.17,   0.03,  -0.37,  -0.21
19720830,   0.10,   0.25,  -0.24,   0.02,  -0.03,   0.10,  -0.09,   0.11,   0.12,   0.02
19720831,   0.22,   0.05,   0.52,   0.16,  -0.05,   0.08,   0.18,   0.38,   0.30,   0.54
19720901,   0.40,   0.42,   0.53,   0.07,   0.26,   0.20,   0.36,   0.32,   0.38,   0.73
19720905,  -0.40,  -0.28,  -0.33,  -0.44,  -0.11,  -0.11,  -0.32,  -0.08,  -0.26,  -0.49
19720906,  -1.05,  -0.78,  -0.40,  -0.39,  -0.25,  -0.40,  -0.46,  -0.28,  -0.70,  -0.92
19720907,  -0.70,  -0.55,  -0.50,  -0.21,  -0.25,  -0.03,  -0.29,  -0.21,  -0.48,  -0.73
19720908,  -0.33,  -0.06,  -0.09,  -0.08,   0.28,  -0.28,   0.05,   0.09,  -0.23,  -0.39
19720911,  -0.49,  -0.89,  -0.77,  -0.84,  -0.64,  -0.62,  -0.86,  -0.97,  -0.94,  -1.55
19720912,  -0.87,  -0.82,  -0.69,  -0.67,  -0.67,  -0.98,  -1.17,  -1.09,  -1.23,  -1.31
19720913,  -0.12,  -0.03,  -0.12,   0.15,  -0.06,  -0.16,  -0.03,   0.09,   0.31,   0.73
19720914,  -0.34,  -0.24,   0.08,   0.18,   0.07,   0.14,   0.00,   0.14,   0.04,   0.06
19720915,   0.00,  -0.39,   0.06,  -0.26,  -0.02,   0.00,  -0.06,  -0.31,   0.12,   0.19
19720918,   0.06,  -0.04,  -0.14,  -0.27,  -0.24,  -0.28,  -0.25,  -0.44,  -0.35,  -0.15
19720919,  -0.12,  -0.05,  -0.15,   0.17,  -0.30,  -0.21,  -0.17,  -0.12,  -0.02,   0.00
19720920,  -0.47,  -0.49,  -0.03,  -0.19,  -0.33,  -0.09,  -0.27,  -0.17,  -0.23,  -0.26
19720921,  -0.65,  -0.30,  -0.13,  -0.18,  -0.21,  -0.21,  -0.32,  -0.27,  -0.30,  -0.16
19720922,   0.17,  -0.01,   0.02,  -0.21,   0.11,   0.06,  -0.15,   0.01,   0.04,   0.04
19720925,  -0.72,  -0.55,  -0.49,  -0.47,  -0.38,  -0.38,  -0.44,  -0.40,  -0.81,  -0.87
19720926,  -0.25,  -0.18,  -0.14,  -0.01,  -0.22,  -0.05,  -0.16,  -0.02,  -0.13,   0.24
19720927,   0.32,   0.22,   0.68,   0.83,   0.71,   0.75,   0.79,   0.85,   1.14,   1.88
19720928,   0.31,  -0.04,   0.17,   0.22,   0.23,   0.34,   0.07,   0.33,   0.44,   0.86
19720929,   0.42,   0.47,   0.20,   0.12,   0.44,   0.15,   0.40,   0.21,   0.30,  -0.19
19721002,  -0.55,  -0.36,  -0.26,   0.06,  -0.25,  -0.23,  -0.24,  -0.37,  -0.24,  -0.69
19721003,  -0.40,  -0.03,  -0.21,  -0.43,  -0.22,   0.06,  -0.40,  -0.27,  -0.27,  -0.38
19721004,  -1.08,  -0.68,  -0.84,  -0.71,  -0.21,  -0.16,  -0.13,  -0.20,  -0.13,  -1.17
19721005,  -1.27,  -0.91,  -0.85,  -0.85,  -0.39,  -0.49,  -0.85,  -1.11,  -1.14,  -1.56
19721006,   0.43,   0.55,   0.18,   0.19,   0.21,   0.40,   0.43,   0.32,   0.36,   1.03
19721009,   0.67,   0.50,   0.04,   0.35,   0.07,   0.20,   0.23,   0.02,   0.02,   0.55
19721010,   0.24,   0.02,   0.29,   0.12,   0.35,   0.23,   0.28,   0.16,   0.23,   0.30
19721011,  -0.73,  -0.32,  -0.44,  -0.37,  -0.36,  -0.37,  -0.50,  -0.34,  -0.41,  -0.70
19721012,  -1.13,  -0.45,  -0.60,  -0.66,  -1.01,  -0.72,  -0.74,  -0.85,  -0.99,  -0.96
19721013,  -0.31,  -0.17,  -0.71,  -0.50,  -0.37,  -0.48,  -0.64,  -0.39,  -0.53,  -0.52
19721016,  -0.90,  -0.52,  -0.51,  -0.81,  -0.50,  -0.54,  -0.65,  -0.80,  -0.86,  -1.32
19721017,   0.24,   0.00,   0.05,  -0.28,   0.11,  -0.05,   0.26,   0.03,   0.41,   0.30
19721018,  -0.09,   0.32,   0.24,   0.21,   0.44,   0.42,   0.21,   0.35,   0.44,   0.34
19721019,  -0.71,  -0.21,  -0.01,   0.06,  -0.20,  -0.01,  -0.24,  -0.22,  -0.06,  -0.44
19721020,   0.59,   0.59,   0.65,   0.51,   0.41,   0.34,   0.43,   0.59,   0.57,   1.00
19721023,   1.09,   0.61,   0.64,   0.47,   0.74,   0.77,   0.73,   0.70,   0.59,   1.44
19721024,  -0.55,  -0.19,  -0.29,   0.05,  -0.17,  -0.13,   0.07,   0.14,   0.07,   0.28
19721025,  -0.01,   0.13,   0.06,  -0.03,   0.00,   0.19,  -0.25,   0.05,  -0.05,  -0.01
19721026,   0.57,   0.45,   0.41,   0.78,   0.61,   0.57,   0.55,   1.00,   0.63,   0.83
19721027,   0.11,  -0.12,   0.32,   0.21,   0.18,   0.04,  -0.06,   0.21,  -0.17,  -0.23
19721030,  -0.14,  -0.15,   0.02,   0.04,  -0.11,  -0.07,  -0.18,  -0.37,  -0.29,  -0.28
19721031,   0.56,   0.61,   0.51,   0.27,   0.49,   0.73,   0.77,   0.48,   0.75,   0.57
19721101,   0.50,   0.80,   0.78,   0.75,   0.91,   0.76,   0.86,   0.99,   0.88,   0.74
19721102,   0.51,   0.18,   0.09,  -0.12,   0.55,   0.57,   0.14,   0.07,   0.17,   0.18
19721103,   1.14,   0.67,   0.57,   0.49,   1.00,   0.88,   0.74,   0.34,   0.79,   0.80
19721106,   0.36,   0.76,   0.26,   0.31,   0.66,   0.09,   0.14,   0.10,   0.15,  -0.12
19721108,  -0.49,  -0.23,  -0.13,  -0.04,  -0.08,  -0.40,  -0.49,  -0.35,   0.05,  -0.80
